0	13	0	3	1	2	1	5	8	0	0	43	6	7	2	1	0	1	1	0	1	1	2	2	0	4	0	0	1	1	0	1	1	22	0	0	1	5	0	3	2	2	1	6	6	8	1	6	0	0	4
1	0	1	0	0	0	1	0	0	0	0	159	0	0	0	2	1	1	1	3	0	2	1	2	3	0	0	0	1	1	2	2	2	1	6	0	0	0	1	0	1	1	4	0	0	1	0	0	0	0	0
2	0	1	3	0	2	0	4	1	0	0	14	0	0	1	0	3	0	0	0	0	1	1	0	1	0	0	0	1	2	2	0	0	0	0	3	2	0	1	4	0	0	3	4	2	1	2	2	0	6	2
3	3	0	0	13	0	0	0	5	4	0	8	2	1	6	3	1	2	0	0	1	7	1	0	0	1	0	0	88	5	1	5	3	7	0	2	1	1	1	0	2	12	4	0	7	0	0	4	1	0	0
4	0	0	1	3	0	7	3	0	1	41	0	1	0	1	2	0	1	1	0	5	1	1	0	0	5	1	0	2	1	1	0	3	2	0	6	0	0	0	3	0	2	1	0	1	3	2	1	0	2	0
5	0	0	3	0	1	1	0	1	1	1	10	0	2	0	0	5	4	6	0	3	0	0	4	0	0	0	2	0	3	3	3	8	1	2	8	8	2	0	0	1	1	3	1	2	2	6	0	2	0	1
6	2	0	1	0	0	3	1	2	1	0	2	0	4	3	2	0	0	0	1	2	1	0	1	3	1	0	0	2	0	0	0	4	2	2	0	0	0	1	0	1	0	0	2	0	0	0	5	2	0	1
7	3	0	0	1	1	0	0	2	4	0	5	0	0	0	0	1	1	0	2	1	0	0	1	2	0	0	0	0	1	3	2	2	3	0	2	1	0	4	0	1	0	3	1	1	1	2	2	4	0	0
8	1	0	0	0	0	0	0	0	2	3	1	0	3	0	0	0	4	2	1	0	0	3	0	1	0	0	3	0	0	0	0	1	0	0	0	3	5	1	0	0	2	0	0	0	0	0	6	0	2	1
9	3	1	2	2	2	1	5	2	1	4	63	2	2	0	0	0	1	0	1	2	14	1	2	13	3	0	0	6	3	0	1	0	1	5	0	1	6	1	1	1	0	2	4	0	0	7	3	5	9	1
10	3	1	0	0	5	6	3	6	1	1	25	3	1	4	0	0	3	3	2	0	4	3	10	9	0	4	0	1	2	1	0	6	4	4	0	1	0	0	12	0	3	0	10	10	4	4	4	3	2	0
11	6	0	0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	1	1	6	2	1	0	0	2	0	0	0	2	0	4	1	0	4	0
12	0	0	0	1	4	0	0	2	3	0	170	0	3	0	2	1	1	0	2	0	0	4	0	0	0	0	2	0	0	2	0	0	0	0	1	0	2	1	0	0	4	0	0	0	0	0	0	0	0	0
13	9	5	12	4	0	7	2	3	6	0	27	10	5	8	10	4	5	1	5	4	2	2	10	10	6	0	1	6	7	1	0	8	4	0	6	2	5	13	1	6	3	5	8	3	10	4	0	0	5	1
14	0	4	0	1	0	0	0	1	5	0	40	5	1	2	1	1	1	0	4	0	2	0	0	0	4	2	1	0	0	0	0	3	0	1	0	0	0	1	0	2	0	4	0	3	1	4	2	0	1	0
15	1	0	1	1	0	1	2	0	0	1	13	0	8	0	0	0	1	1	0	1	0	0	1	1	2	0	1	1	0	0	7	0	2	0	4	0	1	1	0	10	1	1	0	1	5	4	0	0	3	3
16	3	2	5	2	2	1	0	12	3	0	69	2	7	0	2	0	0	1	2	1	10	2	3	0	0	0	0	6	4	0	11	1	3	18	2	0	1	5	1	0	3	1	5	16	0	0	0	0	0	1
17	1	4	1	1	0	1	3	0	1	1	0	0	0	1	0	2	10	0	2	0	0	0	4	1	8	5	0	0	2	0	1	0	1	7	1	4	2	2	0	0	0	1	2	1	0	1	0	1	5	0
18	4	1	4	0	0	1	0	0	0	3	18	7	0	9	0	0	2	0	0	4	1	2	0	0	2	1	0	5	5	0	1	2	0	0	1	3	1	0	1	1	0	1	5	4	0	2	0	1	9	3
19	4	2	2	2	3	3	0	1	2	0	15	1	1	0	0	0	0	1	2	0	1	1	0	16	0	0	1	0	0	2	5	0	0	5	2	2	0	8	2	0	0	0	3	1	0	4	1	0	2	1
20	1	0	4	2	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	2	1	5	0	0	1	2	0	2	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	2	0	0	0	2	0	0
21	12	0	4	1	0	2	4	1	1	0	5	2	13	1	0	5	4	3	3	2	0	2	0	13	0	4	1	8	2	1	0	0	0	0	3	3	15	1	0	1	2	1	0	2	9	1	6	0	2	3
22	0	0	1	0	1	1	1	0	0	1	40	8	5	11	0	0	0	4	0	0	8	1	3	2	8	1	1	0	7	0	0	0	2	1	0	0	0	6	2	2	0	2	4	0	1	1	2	1	5	1
23	7	1	2	17	0	0	0	0	2	0	2	2	4	9	1	1	0	2	2	11	1	6	1	4	1	11	1	0	0	3	7	9	1	1	0	88	0	2	3	0	1	3	1	0	8	1	1	1	5	10
24	7	15	2	3	53	1	14	10	0	2	23	0	4	1	0	7	2	11	6	12	10	11	10	0	2	3	0	1	2	17	0	1	8	4	13	3	7	16	0	12	3	18	2	14	2	11	10	22	1	1
25	6	4	1	1	4	10	2	3	7	5	0	0	20	9	3	22	12	3	8	5	2	2	17	0	0	0	16	4	0	8	2	4	11	0	4	1	11	11	2	0	2	3	1	0	1	1	0	2	7	0
26	2	4	2	3	0	0	0	2	4	3	0	0	1	0	0	1	0	1	2	11	1	4	5	2	1	1	0	11	0	0	5	2	0	2	4	0	2	1	1	0	1	8	0	0	0	0	1	0	2	0
27	0	0	1	1	4	1	2	0	4	1	0	0	0	1	0	0	6	1	1	1	2	5	1	3	0	0	0	0	0	1	1	0	0	0	0	0	6	0	0	1	0	1	0	3	0	1	2	1	0	0
28	11	21	3	1	7	4	3	8	11	3	2	8	7	6	8	11	12	10	11	6	9	0	2	16	1	3	46	1	17	22	6	25	10	11	9	1	5	16	6	2	7	0	8	1	4	7	20	6	10	15
