12	0	0	0	1	0	1	1	0	0	1	140	0	0	0	0	0	0	1	0	0	0	0	1	1	0	46	0	0	0	0	2	1	0	0	0	1	2	0	1	0	0	1	0	1	0	1	0	0	2	0
13	1	1	42	1	1	5	1	7	1	1	2	41	1	3	6	1	3	2	1	0	7	0	3	5	2	31	1	7	2	3	7	17	15	2	0	1	0	2	0	0	0	2	2	2	0	1	14	5	0	4
14	0	3	0	1	0	2	2	1	2	3	0	5	1	0	2	0	0	0	1	2	2	1	0	4	1	30	1	0	3	0	1	0	0	4	0	2	0	2	2	3	5	2	5	0	0	1	1	1	0	1
15	1	1	2	1	0	7	2	3	0	2	1	2	2	2	6	2	0	0	0	2	2	0	2	2	1	13	1	0	2	0	1	3	4	1	0	2	2	1	2	1	0	0	0	0	0	0	0	1	3	0
16	1	1	0	0	0	1	0	1	14	0	3	0	1	3	4	5	10	2	6	7	0	0	2	8	13	66	2	0	0	3	2	2	3	1	2	0	2	3	1	1	5	11	7	6	0	1	0	5	1	1
17	1	0	8	0	6	1	4	1	1	0	1	0	1	7	1	1	0	1	5	0	3	4	3	0	5	1	5	0	1	0	0	0	0	3	0	1	2	0	0	1	0	0	1	1	1	1	3	0	0	2
18	0	4	1	2	1	1	1	6	0	1	0	0	4	1	0	0	0	0	2	9	1	0	1	3	0	23	0	0	0	4	6	1	1	4	1	6	3	3	0	1	0	2	3	5	0	1	0	1	1	0
19	0	1	3	0	2	0	12	1	0	3	0	0	1	0	6	3	0	0	2	0	1	0	4	0	3	12	1	0	0	2	1	9	0	1	4	2	0	1	3	6	1	4	3	0	0	0	2	0	0	2
20	0	0	3	2	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	2	0	1	3	0	0	3	0	0	3	0	0	0	1	1	0	0	0	3	0	1	1	0	1	2	0	0	0	0	1	1
21	6	3	3	1	10	4	2	1	1	0	1	0	3	2	3	2	4	2	1	8	0	1	6	0	0	18	0	0	2	4	3	0	1	4	8	2	6	0	12	1	3	0	0	8	0	1	0	0	5	1
22	0	0	0	14	1	0	0	2	1	1	0	0	5	0	0	1	0	2	1	2	4	2	0	0	2	33	2	0	1	0	0	0	0	0	0	1	2	6	0	12	2	20	7	2	0	0	4	3	0	1
23	0	7	0	0	3	2	2	4	0	8	2	1	7	0	0	0	1	5	0	2	0	1	2	1	9	1	6	4	5	1	5	1	1	2	5	4	8	6	3	4	1	1	4	1	70	10	13	1	15	4
24	11	6	3	7	2	20	1	12	0	12	2	0	3	3	1	16	0	0	1	32	2	1	1	8	1	20	4	25	4	0	14	2	15	30	8	7	9	19	2	6	4	9	8	2	2	4	0	17	5	16
25	0	1	3	5	3	11	5	12	4	10	0	4	0	7	18	1	4	9	2	1	3	11	6	5	3	2	2	13	5	0	15	0	3	4	3	13	2	1	3	0	3	5	13	2	1	5	5	3	4	2
